Time (d), qI (mm/d), qT (mm/d), qR (mm/d), qB (mm/d), dS (mm/d)
    2.06,     3.000,     3.000,     0.000,     0.117,     2.883
    2.07,     3.000,     3.000,     0.000,     0.117,     2.883
    2.08,     3.000,     3.000,     0.000,     0.117,     2.883
    2.09,     3.000,     3.000,     0.000,     0.117,     2.883
    2.10,     3.000,     3.000,     0.000,     0.117,     2.883
    2.11,     3.000,     3.000,     0.000,     0.117,     2.883
    2.12,     3.000,     3.000,     0.000,     0.117,     2.883
    2.13,     3.000,     3.000,     0.000,     0.117,     2.883
    2.14,     3.000,     3.000,     0.000,     0.117,     2.883
    2.15,     3.000,     3.000,     0.000,     0.117,     2.883
    2.16,     3.000,     3.000,     0.000,     0.117,     2.883
    2.17,     3.000,     3.000,     0.000,     0.117,     2.883
    2.18,     3.000,     3.000,     0.000,     0.117,     2.883
    2.19,     3.000,     3.000,     0.000,     0.117,     2.883
    2.20,     3.000,     3.000,     0.000,     0.117,     2.883
    2.21,     3.000,     3.000,     0.000,     0.117,     2.883
    2.22,     3.000,     3.000,     0.000,     0.117,     2.883
    2.23,     3.000,     3.000,     0.000,     0.117,     2.883
    2.24,     3.000,     3.000,     0.000,     0.117,     2.883
    2.25,     3.000,     3.000,     0.000,     0.117,     2.883
    2.26,     3.000,     3.000,     0.000,     0.117,     2.883
    2.27,     3.000,     3.000,     0.000,     0.117,     2.883
    2.28,     3.000,     3.000,     0.000,     0.117,     2.883
    2.29,     3.000,     3.000,     0.000,     0.117,     2.883
    2.30,     3.000,     3.000,     0.000,     0.117,     2.883
    2.31,     3.000,     3.000,     0.000,     0.117,     2.883
    2.32,     3.000,     3.000,     0.000,     0.117,     2.883
    2.33,     3.000,     3.000,     0.000,     0.117,     2.883
    2.34,     3.000,     3.000,     0.000,     0.117,     2.883
    2.35,     3.000,     3.000,     0.000,     0.117,     2.883
    2.36,     3.000,     3.000,     0.000,     0.117,     2.883
    2.37,     3.000,     3.000,     0.000,     0.117,     2.883
    2.38,     3.000,     3.000,     0.000,     0.117,     2.883
    2.39,     3.000,     3.000,     0.000,     0.117,     2.883
    2.40,     3.000,     3.000,     0.000,     0.117,     2.883
    2.41,     3.000,     3.000,     0.000,     0.117,     2.883
    2.42,     3.000,     3.000,     0.000,     0.117,     2.883
    2.43,     3.000,     3.000,     0.000,     0.117,     2.883
    2.44,     3.000,     3.000,     0.000,     0.117,     2.883
    2.45,     3.000,     3.000,     0.000,     0.117,     2.883
    2.46,     3.000,     3.000,     0.000,     0.117,     2.883
    2.47,     3.000,     3.000,     0.000,     0.117,     2.883
    2.48,     3.000,     3.000,     0.000,     0.117,     2.883
    2.49,     3.000,     3.000,     0.000,     0.117,     2.883
    2.50,     3.000,     3.000,     0.000,     0.117,     2.883
    2.51,     3.000,     3.000,     0.000,     0.117,     2.883
    2.52,     3.000,     3.000,     0.000,     0.117,     2.883
    2.53,     3.000,     3.000,     0.000,     0.117,     2.883
    2.54,     3.000,     3.000,     0.000,     0.117,     2.883
    2.55,     3.000,     3.000,     0.000,     0.117,     2.883
    2.56,     3.000,     3.000,     0.000,     0.117,     2.883
    2.57,     3.000,     3.000,     0.000,     0.117,     2.883
    2.58,     3.000,     3.000,     0.000,     0.117,     2.883
    2.59,     3.000,     3.000,     0.000,     0.117,     2.883
    2.60,     3.000,     3.000,     0.000,     0.117,     2.883
    2.61,     3.000,     3.000,     0.000,     0.117,     2.883
    2.62,     3.000,     3.000,     0.000,     0.117,     2.883
    2.63,     3.000,     3.000,     0.000,     0.117,     2.883
    2.64,     3.000,     3.000,     0.000,     0.117,     2.883
    2.65,     3.000,     3.000,     0.000,     0.117,     2.883
    2.66,     3.000,     3.000,     0.000,     0.117,     2.883
    2.67,     3.000,     3.000,     0.000,     0.117,     2.883
    2.68,     3.000,     3.000,     0.000,     0.117,     2.883
    2.69,     3.000,     3.000,     0.000,     0.117,     2.883
    2.70,     3.000,     3.000,     0.000,     0.117,     2.883
    2.71,     3.000,     3.000,     0.000,     0.117,     2.883
    2.72,     3.000,     3.000,     0.000,     0.117,     2.883
    2.73,     3.000,     3.000,     0.000,     0.117,     2.883
    2.74,     3.000,     3.000,     0.000,     0.117,     2.883
    2.75,     3.000,     3.000,     0.000,     0.117,     2.883
    2.76,     3.000,     3.000,     0.000,     0.117,     2.883
    2.77,     3.000,     3.000,     0.000,     0.117,     2.883
    2.78,     3.000,     3.000,     0.000,     0.117,     2.883
    2.79,     3.000,     3.000,     0.000,     0.117,     2.883
    2.80,     3.000,     3.000,     0.000,     0.117,     2.883
    2.81,     3.000,     3.000,     0.000,     0.117,     2.883
    2.82,     3.000,     3.000,     0.000,     0.117,     2.883
    2.83,     3.000,     3.000,     0.000,     0.117,     2.883
    2.84,     3.000,     3.000,     0.000,     0.117,     2.883
    2.85,     3.000,     3.000,     0.000,     0.117,     2.883
    2.86,     3.000,     3.000,     0.000,     0.117,     2.883
    2.87,     3.000,     3.000,     0.000,     0.117,     2.883
    2.88,     3.000,     3.000,     0.000,     0.117,     2.883
    2.89,     3.000,     3.000,     0.000,     0.117,     2.883
    2.90,     3.000,     3.000,     0.000,     0.117,     2.883
    2.91,     3.000,     3.000,     0.000,     0.117,     2.883
    2.92,     3.000,     3.000,     0.000,     0.117,     2.883
    2.93,     3.000,     3.000,     0.000,     0.117,     2.883
    2.94,     3.000,     3.000,     0.000,     0.117,     2.883
    2.95,     3.000,     3.000,     0.000,     0.117,     2.883
    2.96,     3.000,     3.000,     0.000,     0.117,     2.883
    2.97,     3.000,     3.000,     0.000,     0.117,     2.883
    2.98,     3.000,     3.000,     0.000,     0.117,     2.883
    2.99,     3.000,     3.000,     0.000,     0.117,     2.883
    3.00,     3.000,     3.000,     0.000,     0.117,     2.883
    3.01,     3.000,     3.000,     0.000,     0.117,     2.883
    3.02,     3.000,     3.000,     0.000,     0.117,     2.883
    3.03,     3.000,     3.000,     0.000,     0.117,     2.883
    3.04,     3.000,     3.000,     0.000,     0.117,     2.883
    3.05,     3.000,     3.000,     0.000,     0.117,     2.883
    3.06,     3.000,     3.000,     0.000,     0.117,     2.883
    3.07,     3.000,     3.000,     0.000,     0.117,     2.883
    3.08,     3.000,     3.000,     0.000,     0.117,     2.883
    3.09,     3.000,     3.000,     0.000,     0.117,     2.883
    3.10,     3.000,     3.000,     0.000,     0.117,     2.883
    3.11,     3.000,     3.000,     0.000,     0.117,     2.883
    3.12,     3.000,     3.000,     0.000,     0.117,     2.883
    3.13,     3.000,     3.000,     0.000,     0.117,     2.883
    3.14,     3.000,     3.000,     0.000,     0.117,     2.883
    3.15,     3.000,     3.000,     0.000,     0.117,     2.883
    3.16,     3.000,     3.000,     0.000,     0.117,     2.883
    3.17,     3.000,     3.000,     0.000,     0.117,     2.883
    3.18,     3.000,     3.000,     0.000,     0.117,     2.883
    3.19,     3.000,     3.000,     0.000,     0.117,     2.883
    3.20,     3.000,     3.000,     0.000,     0.117,     2.883
    3.21,     3.000,     3.000,     0.000,     0.117,     2.883
    3.22,     3.000,     3.000,     0.000,     0.117,     2.883
    3.23,     3.000,     3.000,     0.000,     0.117,     2.883
    3.24,     3.000,     3.000,     0.000,     0.117,     2.883
    3.25,     3.000,     3.000,     0.000,     0.117,     2.883
    3.26,     3.000,     3.000,     0.000,     0.117,     2.883
    3.27,     3.000,     3.000,     0.000,     0.117,     2.883
    3.28,     3.000,     3.000,     0.000,     0.117,     2.883
    3.29,     3.000,     3.000,     0.000,     0.117,     2.883
    3.30,     3.000,     3.000,     0.000,     0.117,     2.883
    3.31,     3.000,     3.000,     0.000,     0.117,     2.883
    3.32,     3.000,     3.000,     0.000,     0.117,     2.883
    3.33,     3.000,     3.000,     0.000,     0.117,     2.883
    3.34,     3.000,     3.000,     0.000,     0.117,     2.883
    3.35,     3.000,     3.000,     0.000,     0.117,     2.883
    3.36,     3.000,     3.000,     0.000,     0.117,     2.883
    3.37,     3.000,     3.000,     0.000,     0.117,     2.883
    3.38,     3.000,     3.000,     0.000,     0.117,     2.883
    3.39,     3.000,     3.000,     0.000,     0.117,     2.883
    3.40,     3.000,     3.000,     0.000,     0.117,     2.883
    3.41,     3.000,     3.000,     0.000,     0.117,     2.883
    3.42,     3.000,     3.000,     0.000,     0.117,     2.883
    3.43,     3.000,     3.000,     0.000,     0.117,     2.883
    3.44,     3.000,     3.000,     0.000,     0.117,     2.883
    3.45,     3.000,     3.000,     0.000,     0.117,     2.883
    3.46,     3.000,     3.000,     0.000,     0.117,     2.883
    3.47,     3.000,     3.000,     0.000,     0.117,     2.883
    3.48,     3.000,     3.000,     0.000,     0.117,     2.883
    3.49,     3.000,     3.000,     0.000,     0.117,     2.883
    3.50,     3.000,     3.000,     0.000,     0.117,     2.883
    3.51,     3.000,     3.000,     0.000,     0.117,     2.883
    3.52,     3.000,     3.000,     0.000,     0.117,     2.883
    3.53,     3.000,     3.000,     0.000,     0.117,     2.883
    3.54,     3.000,     3.000,     0.000,     0.117,     2.883
    3.55,     3.000,     3.000,     0.000,     0.117,     2.883
    3.56,     3.000,     3.000,     0.000,     0.117,     2.883
    3.57,     3.000,     3.000,     0.000,     0.117,     2.883
    3.58,     3.000,     3.000,     0.000,     0.117,     2.883
    3.59,     3.000,     3.000,     0.000,     0.117,     2.883
    3.60,     3.000,     3.000,     0.000,     0.117,     2.883
    3.61,     3.000,     3.000,     0.000,     0.117,     2.883
    3.62,     3.000,     3.000,     0.000,     0.117,     2.883
    3.63,     3.000,     3.000,     0.000,     0.117,     2.883
    3.64,     3.000,     3.000,     0.000,     0.117,     2.883
    3.65,     3.000,     3.000,     0.000,     0.117,     2.883
    3.66,     3.000,     3.000,     0.000,     0.117,     2.883
    3.67,     3.000,     3.000,     0.000,     0.117,     2.883
    3.68,     3.000,     3.000,     0.000,     0.117,     2.883
    3.69,     3.000,     3.000,     0.000,     0.117,     2.883
    3.70,     3.000,     3.000,     0.000,     0.117,     2.883
    3.71,     3.000,     3.000,     0.000,     0.117,     2.883
    3.72,     3.000,     3.000,     0.000,     0.117,     2.883
    3.73,     3.000,     3.000,     0.000,     0.117,     2.883
    3.74,     3.000,     3.000,     0.000,     0.117,     2.883
    3.75,     3.000,     3.000,     0.000,     0.117,     2.883
    3.76,     3.000,     3.000,     0.000,     0.117,     2.883
    3.77,     3.000,     3.000,     0.000,     0.117,     2.883
    3.78,     3.000,     3.000,     0.000,     0.117,     2.883
    3.79,     3.000,     3.000,     0.000,     0.117,     2.883
    3.80,     3.000,     3.000,     0.000,     0.117,     2.883
    3.81,     3.000,     3.000,     0.000,     0.117,     2.883
