Time (d),      jTA (*),      jTC (*),      jBA (*),      jBC (*),      duL (*),      duS (*) * all units are kJ/m2/d
    1.77,         0.00,       452.97,        -0.49,        12.37,       268.95,       172.11,
    1.78,         0.00,       451.78,        -0.49,        12.58,       268.23,       171.43,
    1.79,         0.00,       450.61,        -0.49,        12.80,       267.53,       170.75,
    1.80,         0.00,       449.44,        -0.49,        13.01,       266.83,       170.07,
    1.81,         0.00,       448.29,        -0.49,        13.23,       266.13,       169.39,
    1.82,         0.00,       447.14,        -0.49,        13.44,       265.44,       168.72,
    1.83,         0.00,       446.01,        -0.49,        13.66,       264.75,       168.05,
    1.84,         0.00,       444.88,        -0.49,        13.88,       264.07,       167.39,
    1.85,         0.00,       443.76,        -0.49,        14.10,       263.40,       166.73,
    1.86,         0.00,       442.65,        -0.49,        14.32,       262.72,       166.07,
    1.87,         0.00,       441.55,        -0.49,        14.54,       262.06,       165.42,
    1.88,         0.00,       440.46,        -0.49,        14.76,       261.39,       164.77,
    1.89,         0.00,       439.37,        -0.49,        14.98,       260.73,       164.12,
    1.90,         0.00,       438.30,        -0.49,        15.21,       260.08,       163.47,
    1.91,         0.00,       437.23,        -0.49,        15.43,       259.43,       162.83,
    1.92,         0.00,       436.17,        -0.49,        15.65,       258.78,       162.19,
    1.93,         0.00,       435.12,        -0.49,        15.88,       258.14,       161.56,
    1.94,         0.00,       434.07,        -0.49,        16.11,       257.50,       160.93,
    1.95,         0.00,       433.04,        -0.49,        16.33,       256.87,       160.30,
    1.96,         0.00,       432.01,        -0.49,        16.56,       256.24,       159.67,
    1.97,         0.00,       430.99,        -0.49,        16.79,       255.61,       159.05,
    1.98,         0.00,       429.98,        -0.49,        17.02,       254.99,       158.43,
    1.99,         0.00,       428.97,        -0.49,        17.25,       254.37,       157.81,
    2.00,         0.00,       427.97,        -0.49,        17.47,       253.76,       157.20,
    2.01,         0.00,       426.98,        -0.49,        17.71,       253.15,       156.59,
    2.02,         0.00,       426.00,        -0.49,        17.94,       252.54,       155.98,
    2.03,         0.00,       425.02,        -0.49,        18.17,       251.94,       155.38,
    2.04,         0.00,       424.05,        -0.49,        18.40,       251.34,       154.78,
    2.05,         0.00,       423.09,        -0.49,        18.63,       250.75,       154.18,
    2.06,         0.00,       422.14,        -0.49,        18.86,       250.16,       153.58,
    2.07,         0.00,       421.19,        -0.49,        19.10,       249.57,       152.99,
    2.08,         0.00,       420.24,        -0.49,        19.33,       248.98,       152.40,
    2.09,         0.00,       419.31,        -0.49,        19.56,       248.40,       151.81,
    2.10,         0.00,       418.38,        -0.49,        19.80,       247.82,       151.22,
    2.11,         0.00,       417.46,        -0.49,        20.03,       247.25,       150.64,
    2.12,         0.00,       416.54,        -0.49,        20.27,       246.68,       150.06,
    2.13,         0.00,       415.63,        -0.49,        20.50,       246.11,       149.48,
    2.14,         0.00,       414.73,        -0.49,        20.74,       245.55,       148.91,
    2.15,         0.00,       413.83,        -0.49,        20.97,       244.99,       148.34,
    2.16,         0.00,       412.94,        -0.49,        21.21,       244.43,       147.77,
    2.17,         0.00,       412.05,        -0.49,        21.44,       243.87,       147.20,
    2.18,         0.00,       411.17,        -0.49,        21.68,       243.32,       146.64,
    2.19,         0.00,       410.30,        -0.49,        21.92,       242.77,       146.07,
    2.20,         0.00,       409.43,        -0.49,        22.15,       242.23,       145.51,
    2.21,         0.00,       408.57,        -0.49,        22.39,       241.68,       144.96,
    2.22,         0.00,       407.71,        -0.49,        22.63,       241.14,       144.40,
    2.23,         0.00,       406.86,        -0.49,        22.86,       240.61,       143.85,
    2.24,         0.00,       406.02,        -0.49,        23.10,       240.07,       143.30,
    2.25,         0.00,       405.18,        -0.49,        23.34,       239.54,       142.76,
    2.26,         0.00,       404.34,        -0.49,        23.58,       239.02,       142.21,
    2.27,         0.00,       403.51,        -0.49,        23.81,       238.49,       141.67,
    2.28,         0.00,       402.69,        -0.49,        24.05,       237.97,       141.13,
    2.29,         0.00,       401.87,        -0.49,        24.29,       237.45,       140.60,
    2.30,         0.00,       401.06,        -0.49,        24.53,       236.93,       140.06,
    2.31,         0.00,       400.25,        -0.49,        24.77,       236.42,       139.53,
    2.32,         0.00,       399.45,        -0.49,        25.00,       235.91,       139.00,
    2.33,         0.00,       398.65,        -0.49,        25.24,       235.40,       138.47,
    2.34,         0.00,       397.85,        -0.49,        25.48,       234.89,       137.95,
    2.35,         0.00,       397.07,        -0.49,        25.72,       234.39,       137.42,
    2.36,         0.00,       396.28,        -0.49,        25.96,       233.89,       136.90,
    2.37,         0.00,       395.50,        -0.49,        26.19,       233.39,       136.39,
    2.38,         0.00,       394.73,        -0.49,        26.43,       232.90,       135.87,
    2.39,         0.00,       393.96,        -0.49,        26.67,       232.40,       135.36,
    2.40,         0.00,       393.20,        -0.49,        26.91,       231.91,       134.85,
    2.41,         0.00,       392.44,        -0.49,        27.14,       231.43,       134.34,
    2.42,         0.00,       391.68,        -0.49,        27.38,       230.94,       133.83,
    2.43,         0.00,       390.93,        -0.49,        27.62,       230.46,       133.33,
    2.44,         0.00,       390.19,        -0.49,        27.86,       229.98,       132.82,
    2.45,         0.00,       389.45,        -0.49,        28.09,       229.50,       132.32,
    2.46,         0.00,       388.71,        -0.49,        28.33,       229.02,       131.82,
    2.47,         0.00,       387.98,        -0.49,        28.57,       228.55,       131.33,
    2.48,         0.00,       387.25,        -0.49,        28.80,       228.08,       130.84,
    2.49,         0.00,       386.53,        -0.49,        29.04,       227.61,       130.34,
    2.50,         0.00,       385.81,        -0.49,        29.28,       227.14,       129.85,
    2.51,         0.00,       385.09,        -0.49,        29.51,       226.68,       129.37,
    2.52,         0.00,       384.38,        -0.49,        29.75,       226.22,       128.88,
    2.53,         0.00,       383.67,        -0.49,        29.98,       225.75,       128.40,
    2.54,         0.00,       382.97,        -0.49,        30.22,       225.30,       127.92,
    2.55,         0.00,       382.27,        -0.49,        30.45,       224.84,       127.44,
    2.56,         0.00,       381.57,        -0.49,        30.69,       224.39,       126.96,
    2.57,         0.00,       380.88,        -0.49,        30.92,       223.94,       126.49,
    2.58,         0.00,       380.20,        -0.49,        31.16,       223.49,       126.02,
    2.59,         0.00,       379.51,        -0.49,        31.39,       223.04,       125.55,
    2.60,         0.00,       378.83,        -0.49,        31.63,       222.60,       125.08,
    2.61,         0.00,       378.16,        -0.49,        31.86,       222.15,       124.61,
    2.62,         0.00,       377.49,        -0.49,        32.10,       221.71,       124.15,
    2.63,         0.00,       376.82,        -0.49,        32.33,       221.27,       123.68,
    2.64,         0.00,       376.15,        -0.49,        32.56,       220.84,       123.22,
    2.65,         0.00,       375.49,        -0.49,        32.79,       220.40,       122.77,
    2.66,         0.00,       374.84,        -0.49,        33.03,       219.97,       122.31,
    2.67,         0.00,       374.18,        -0.49,        33.26,       219.54,       121.85,
    2.68,         0.00,       373.53,        -0.49,        33.49,       219.11,       121.40,
    2.69,         0.00,       372.89,        -0.49,        33.72,       218.68,       120.95,
    2.70,         0.00,       372.24,        -0.49,        33.95,       218.26,       120.50,
    2.71,         0.00,       371.60,        -0.49,        34.18,       217.83,       120.06,
    2.72,         0.00,       370.97,        -0.49,        34.41,       217.41,       119.61,
    2.73,         0.00,       370.33,        -0.49,        34.65,       216.99,       119.17,
    2.74,         0.00,       369.71,        -0.49,        34.87,       216.57,       118.73,
    2.75,         0.00,       369.08,        -0.49,        35.10,       216.16,       118.29,
    2.76,         0.00,       368.46,        -0.49,        35.33,       215.74,       117.85,
    2.77,         0.00,       367.84,        -0.49,        35.56,       215.33,       117.41,
    2.78,         0.00,       367.22,        -0.49,        35.79,       214.92,       116.98,
    2.79,         0.00,       366.61,        -0.49,        36.02,       214.51,       116.55,
    2.80,         0.00,       366.00,        -0.49,        36.25,       214.10,       116.12,
    2.81,         0.00,       365.39,        -0.49,        36.47,       213.70,       115.69,
    2.82,         0.00,       364.79,        -0.49,        36.70,       213.29,       115.27,
    2.83,         0.00,       364.19,        -0.49,        36.93,       212.89,       114.84,
    2.84,         0.00,       363.59,        -0.49,        37.15,       212.49,       114.42,
    2.85,         0.00,       363.00,        -0.49,        37.38,       212.09,       114.00,
    2.86,         0.00,       362.41,        -0.49,        37.60,       211.70,       113.58,
    2.87,         0.00,       361.82,        -0.49,        37.83,       211.30,       113.16,
    2.88,         0.00,       361.24,        -0.49,        38.05,       210.91,       112.75,
    2.89,         0.00,       360.66,        -0.49,        38.28,       210.52,       112.33,
    2.90,         0.00,       360.08,        -0.49,        38.50,       210.13,       111.92,
    2.91,         0.00,       359.50,        -0.49,        38.72,       209.74,       111.51,
    2.92,         0.00,       358.93,        -0.49,        38.95,       209.35,       111.10,
    2.93,         0.00,       358.36,        -0.49,        39.17,       208.96,       110.70,
    2.94,         0.00,       357.79,        -0.49,        39.39,       208.58,       110.29,
    2.95,         0.00,       357.23,        -0.49,        39.61,       208.20,       109.89,
    2.96,         0.00,       356.66,        -0.49,        39.83,       207.82,       109.49,
    2.97,         0.00,       356.11,        -0.49,        40.05,       207.44,       109.09,
    2.98,         0.00,       355.55,        -0.49,        40.27,       207.06,       108.69,
    2.99,         0.00,       355.00,        -0.49,        40.49,       206.68,       108.29,
    3.00,         0.00,       354.45,        -0.49,        40.71,       206.31,       107.90,
    3.01,         0.00,       353.90,        -0.49,        40.93,       205.93,       107.50,
    3.02,         0.00,       353.35,        -0.49,        41.15,       205.56,       107.11,
    3.03,         0.00,       352.81,        -0.49,        41.37,       205.19,       106.72,
    3.04,         0.00,       352.27,        -0.49,        41.58,       204.82,       106.33,
    3.05,         0.00,       351.73,        -0.49,        41.80,       204.45,       105.95,
    3.06,         0.00,       351.20,        -0.49,        42.02,       204.09,       105.56,
    3.07,         0.00,       350.66,        -0.49,        42.23,       203.72,       105.18,
    3.08,         0.00,       350.13,        -0.49,        42.45,       203.36,       104.80,
    3.09,         0.00,       349.61,        -0.49,        42.66,       203.00,       104.42,
    3.10,         0.00,       349.08,        -0.49,        42.88,       202.64,       104.04,
    3.11,         0.00,       348.56,        -0.49,        43.09,       202.28,       103.66,
    3.12,         0.00,       348.04,        -0.49,        43.30,       201.92,       103.29,
    3.13,         0.00,       347.52,        -0.49,        43.52,       201.56,       102.91,
    3.14,         0.00,       347.01,        -0.49,        43.73,       201.21,       102.54,
    3.15,         0.00,       346.50,        -0.49,        43.94,       200.86,       102.17,
    3.16,         0.00,       345.99,        -0.49,        44.15,       200.50,       101.80,
    3.17,         0.00,       345.48,        -0.49,        44.36,       200.15,       101.44,
    3.18,         0.00,       344.97,        -0.49,        44.57,       199.80,       101.07,
    3.19,         0.00,       344.47,        -0.49,        44.78,       199.45,       100.71,
    3.20,         0.00,       343.97,        -0.49,        44.99,       199.11,       100.34,
    3.21,         0.00,       343.47,        -0.49,        45.20,       198.76,        99.98,
